Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,4.594116269366804,4.760513536500792,4.231197483775011,5.241199411808688,3.9592231649436753,5.606950248809869,4.359257745701919,4.840692098700179,4.995095047341129,4.550479860349182,4.493621542445931,3.7459711727597855,5.457873480606961,6.074815355972418,5.705908707523038,4.922599293859971,5.5800660365676675,4.896723617869651,5.466877450847827,5.367841600014406,4.059532555249158,3.0875416886861395,4.999464515101935,5.642864593405111,3.361605339770652,5.062025835645176,4.930233378976487
AdguardTeam,1.6949849075388719,1.748095556701808,1.181830474794583,1.0,1.2152094166487022,1.4996559506484828,2.355353847737495,2.2750632482678923,2.219854738277686,1.6390849873160862,1.602521106675518,2.142842312064576,1.230741433128487,1.6590872218098125,1.8721901170725077,1.9892427672141397,2.894702268385498,1.9342334886036117,1.0,1.8944616892232058,1.0,2.1815102317538706,1.0,1.4429622040316348,1.6848115216343462,1.2559303307437355,1.489218960903334
pingcap,1.3629187855917924,2.564410578398732,2.3941176398716877,3.1329287936826025,1.613042379077183,3.4806287430089777,4.991219767152112,3.6388419233682217,3.487194226641929,3.484344779102978,3.7092699609758304,4.061639076635165,2.215806886464997,2.2229085040508147,2.996638746547207,2.40348716174653,1.9259973627870322,2.2018501753319573,3.8395703712934357,2.6218704272546205,2.06289380870195,2.660719839332896,2.1915927403638773,2.5323554385546165,1.6848115216343462,2.515639873504512,1.9239610770743292
cms-sw,1.18567001374491,1.748095556701808,2.124448629474699,2.6057792923683754,1.0,2.7015061259804396,2.188212691819427,2.0893932345229818,1.1993511516547206,1.8308283518701658,2.8641294351608497,2.82322755414013,2.037660342515347,2.476989655953102,1.602521106675519,2.595230526300611,2.44028333801615,1.646938065755129,2.472817956412812,2.8370798439033234,1.8721901170725077,2.428454466876327,1.9259973627870322,2.5323554385546165,1.8887873833578404,2.139115252076274,2.315152321104142
microsoftgraph,3.1418042492520297,3.6786137227486266,3.9789389713728194,3.878902710271151,4.061639076635164,4.473379910791199,3.6050331080274938,4.339610760445627,2.6449555997097685,2.9604712018263895,2.7269697361502176,4.491945089348334,3.533722481163996,3.546385962140665,6.078442873947063,3.582148176751373,4.165340350694322,6.887588876901645,5.27194590554805,5.475921767271545,3.7092699609758304,4.974840429016991,4.872227772264004,3.8625700146648536,4.3236534450025665,2.515639873504512,4.83371859045053
MarlinFirmware,3.5585044261287524,3.239342987907289,2.5222815919031807,3.29394860097333,3.155607619702896,3.032011389203099,2.013603743951383,1.8944616892232062,2.3667524148806245,2.355353847737495,2.7269697361502176,3.218821671445559,3.1418042492520297,3.3546425975865843,2.361409077975841,2.40348716174653,1.6410302884889942,1.9342334886036117,2.472817956412812,2.6218704272546205,2.8976802878340386,2.660719839332896,1.6410302884889942,2.2018501753319573,2.774204756157328,2.139115252076274,3.5767606495894735
conan-io,2.9155169309872315,2.9164268481686704,3.7092699609758304,4.012417979798984,3.2810296211925283,4.247818275668095,3.946230409476973,4.231197483775012,3.897808794982981,3.7221062626181194,3.3691729129712322,4.625460358876167,4.613024047723572,4.070911458007995,5.183981184723857,5.314882034779627,5.122689617046821,4.186975952326607,4.117773556122581,4.513873662039629,3.4570114485736383,2.428454466876327,4.604611085535659,3.3833604070858274,3.361605339770652,2.859059191438945,3.961528473378022
pandas-dev,3.935029047556991,4.073467152314903,4.311791067651349,4.61910387145792,4.161439826125676,2.870251050095991,5.233624777526955,4.231197483775012,4.526536687166653,4.260020107649527,4.121087376021906,5.342950057879547,4.706214827650761,4.070911458007995,4.953994244472363,4.922599293859971,3.8424242109557025,5.384245379294678,5.370626751395793,4.647897660651734,4.482501619335169,5.961758079467755,5.3580640844602145,6.418539921951661,5.006560939480421,3.466795309344566,5.206252756874555
Ultimaker,2.0010355529061155,1.5142859752291185,1.6814864254430648,1.996284677443208,1.7977373833785983,2.1465940164036104,2.8177460023209284,1.6892959192241075,1.5699216655194197,1.4374480009015125,1.784351581470101,2.142842312064576,1.0,2.940398203054193,1.0,1.0,1.6410302884889942,1.9342334886036117,2.2627503738804915,1.0,2.8976802878340386,1.0,1.9259973627870322,4.081804127399856,2.443699492934669,1.0,1.7126312144286233
influxdata,1.8510049685312122,2.1775252013283435,3.7092699609758304,2.41298485431993,2.459933700145235,3.032011389203099,3.0981678402344084,2.0893932345229818,2.9046662599120325,2.6696109977312177,2.8641294351608497,3.578031962118857,3.001917140782375,4.231197483775011,1.8721901170725077,3.434013172161663,2.894702268385498,3.11975602216794,4.377484216324844,2.3941176398716877,2.8976802878340386,2.8799539520678983,3.3017501278218893,3.3833604070858274,2.443699492934669,3.323488614470043,2.6707291926572045
zephyrproject-rtos,5.223022964862658,3.946230409476973,4.148907068816184,5.144152073334753,4.353707290665406,5.352869096907581,4.991219767152112,3.090428787429097,4.179729508179925,4.260020107649527,4.581460078048338,5.450699156598537,3.6560902244811477,4.385168608001717,7.090242486623799,4.922599293859971,5.5800660365676675,5.606950248809869,5.999354643579465,6.964820485134165,4.482501619335169,5.659651950651337,5.790133619099987,5.9188839713031784,5.349143615764098,5.824581031924879,6.148870911554672
qmk,6.190153247981326,6.768802516224988,5.294091292476961,5.7777436960609,5.948937816966017,4.6866319029750905,6.924362558607867,6.797414155195033,5.909576425422245,5.746837357279523,5.070679038951672,6.473463312833347,6.795872923032664,5.199902389373477,6.418539921951661,5.671360347835101,4.604611085535659,5.024422282079972,7.323714625801817,6.964820485134165,4.482501619335169,5.2166897466197035,5.686510899287824,5.188445663035764,4.42882526992932,4.345234269214265,4.63323103805016
mrdoob,2.9155169309872315,2.564410578398732,2.996638746547207,2.6057792923683754,2.3046026511716846,2.1465940164036104,2.515639873504512,1.8944616892232062,1.9083815824688253,2.355353847737495,2.996638746547207,3.7459711727597855,4.216313669287431,4.533303612591427,3.7092699609758304,2.2018501753319573,3.670377596932047,4.339610760445626,1.8053739543596456,4.231197483775011,1.8721901170725077,3.284658261716607,4.00721607839766,2.5323554385546165,2.443699492934669,2.139115252076274,2.996638746547207
rapid7,2.2848525543545266,1.0,2.261608328485331,3.1329287936826025,2.3046026511716846,1.9426181546801167,1.8308283518701658,1.0,2.219854738277686,1.224840592783695,1.211329862645706,1.3185277757995735,1.8510049685312115,2.2229085040508147,1.312858956332908,2.2018501753319573,2.67409291948884,1.336838481465613,1.2872954228484832,1.3214399703988104,2.2447242834965326,2.428454466876327,2.1915927403638773,1.8407951664601154,1.2418493176027119,2.515639873504512,2.315152321104142
ccxt,1.6949849075388719,1.748095556701808,1.5219275227991806,1.273869602243657,2.142842312064576,2.340451117108598,2.013603743951383,1.4727614614856614,2.067219930158668,1.8308283518701658,1.9580979782285808,3.218821671445559,2.7061639025043753,2.2229085040508147,1.602521106675519,2.595230526300611,2.44028333801615,1.9342334886036117,2.2627503738804915,2.8370798439033234,2.2447242834965326,1.0,1.6410302884889942,2.8370798439033234,2.0826444840628273,1.4961277569347524,1.0
JuliaLang,2.2848525543545266,1.9687049055984656,2.64637615227388,5.241199411808688,3.6348172272819217,2.525146121410013,3.3598108717597333,2.940398203054194,2.067219930158668,2.188212691819427,2.8641294351608497,2.142842312064576,2.5494486888452395,3.729161354221883,2.361409077975841,3.434013172161663,4.872227772264004,2.4523120201147743,1.8053739543596456,3.7647127393191964,2.2447242834965326,1.6352296685713654,2.894702268385498,4.081804127399856,2.443699492934669,3.1747270953143247,2.996638746547207
jitsi,3.0302979456144135,2.9164268481686704,3.5185662693463877,2.41298485431993,1.419185278372196,3.336735794551805,1.224840592783694,2.2750632482678923,1.7428139924969135,1.8308283518701658,1.9580979782285808,3.0260272333971137,2.5494486888452395,1.9511554358400538,2.5848213315011312,1.5258342201130488,1.0,1.336838481465613,2.0407484217730394,1.8944616892232058,1.4603727020264317,1.6352296685713654,2.67409291948884,1.0,1.6848115216343462,2.515639873504512,1.9239610770743292
WordPress,3.1418042492520297,3.081218715610628,2.124448629474699,4.387602977343352,1.7977373833785983,2.7015061259804396,2.188212691819427,3.090428787429097,2.9046662599120325,3.0981678402344084,3.3691729129712322,4.879541510778456,1.8510049685312115,2.7155576102704986,4.448950766661981,3.582148176751373,3.670377596932047,4.764711621877709,2.6721691080675316,2.6218704272546205,2.5848213315011312,3.6513629709271416,3.670377596932047,3.3833604070858274,2.443699492934669,2.6911199807980166,2.996638746547207
istio,2.0010355529061155,2.9164268481686704,1.6814864254430648,2.964989583041673,1.7977373833785983,3.4806287430089777,2.188212691819427,2.940398203054194,2.067219930158668,2.188212691819427,2.5848213315011312,2.82322755414013,2.5494486888452395,3.903770302089926,2.5848213315011312,2.9526148662498732,3.3017501278218897,3.11975602216794,3.5400378865714797,2.3941176398716877,3.1873424381766498,2.428454466876327,3.670377596932047,2.8370798439033234,2.267339488364242,2.6911199807980166,3.2974525459297546
qbittorrent,1.5324771927316387,1.748095556701808,1.0,1.7699973591784093,1.7977373833785983,1.4996559506484828,1.224840592783694,2.2750632482678923,1.3890263864075203,1.0,1.0,1.0,1.0,1.6590872218098125,1.0,1.5258342201130488,1.0,2.4523120201147743,1.5549121095768292,1.3214399703988104,1.2369604485011423,2.1815102317538706,1.0,2.8370798439033234,1.469602104985644,1.4961277569347524,1.2522585124021917
DefinitelyTyped,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.55862743213362,10.0,8.94015863216941,9.895141690601173,9.894089296445436,9.707931785969759,7.98947615772426,9.243630218631381,9.095101321031645
grpc,1.8510049685312122,2.1775252013283435,2.124448629474699,3.1329287936826025,2.142842312064576,3.032011389203099,2.9604712018263895,2.6218704272546205,2.508328668414421,1.8308283518701658,1.4118174150460763,1.8869119813208401,1.6549869996220334,2.2229085040508147,1.602521106675519,1.764402174430445,2.44028333801615,2.2018501753319573,2.2627503738804915,1.8944616892232058,2.2447242834965326,2.660719839332896,2.67409291948884,1.8407951664601154,3.6252097246885397,2.139115252076274,2.496982795898725
