Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,3.41954840383727,3.4662383089486557,3.404087907863484,3.2382582747121083,3.1179311776929857,3.0632540356776308,2.992983400608097,2.7554403606519755,2.4928988206464644,2.320262921276049,2.2020572311576996,1.9592705667227428,1.90073503776645,2.0456250488162837,1.8569522388077264,1.7104429605138871,1.6834744838273,1.7231827466655942,1.7705678059822072,1.6917439569564456,1.6144544458551324,1.5722155002605254,1.9145764781417944,1.8992274336866297,1.9451850789007743,1.9896963410064434,2.140500569129475
AdguardTeam,6.357205338495664,6.3962219990695415,6.360606071271418,6.210656419530242,5.999377219335692,5.996909685339912,5.858863916484792,5.5773125211892935,5.556172219542656,5.405112806898993,5.372361436941001,5.039708368611211,4.986806249496854,4.873479801002929,4.660146131224581,4.685585846426587,4.840468653499878,4.858631739643071,4.680470350792893,4.570204798776784,4.587550633262085,4.674991784306428,4.726169064666253,4.864183212405219,4.770755439677362,4.647461988571628,4.71864793673201
pingcap,3.4856063289918815,3.4197991767204314,3.5082540824127015,3.3612781556690248,3.242179135377366,3.4380397498436044,3.584164115572936,3.3463103448814455,3.3335312305336253,3.1342458899332497,3.0711471302851074,2.81568919950554,2.5416016367076306,2.574897830615529,2.46781381581992,2.2238050151436273,2.0545319436568867,2.1507240673846773,2.3282226574208504,1.9226870710861501,1.808472150577338,1.4885137184188748,1.7544883549210037,2.1124088388484132,2.437045959132348,2.468633180758619,2.597789619435608
cms-sw,3.473443637811332,3.287872498132643,3.2670417449467744,3.1451618946551396,3.021369318099305,2.9746855992355563,3.072330869761587,2.8721386962487854,2.7947315922695086,2.7419631490135936,2.8047136625112357,2.578427809672677,2.237044091956755,2.2837274143856683,2.1492206197146317,1.980967939579274,2.2774854841880567,2.453840994481922,2.4427808574378105,2.3678881702169234,2.148441389377381,2.1432274158277353,2.0340396114750527,2.182288053614454,2.2466942394258913,2.2239356131786256,2.378639334934663
microsoftgraph,5.610886906351483,5.58198651851653,5.54361768195046,5.353453046359128,5.256742344521773,5.409261999079406,5.339374840963692,5.103293179662981,5.051782731798705,4.612214199109584,4.25961661307081,3.8616071305668385,3.9108699732673338,3.8477595098446424,3.8981019229951688,3.5819352981114725,3.6431571231483013,4.097632271439117,4.024835371750346,3.8601528759254062,3.7060566549063827,3.6157608641763885,3.548209882329748,3.5242670703398375,3.2774809940468237,3.20844755812605,3.498937509142127
MarlinFirmware,5.394265906873874,5.311845731815473,4.9126213009611295,4.642702562143327,4.4240835861421095,4.314285061168004,4.1900296976004086,3.90333273385738,3.513880075991138,3.2491769176864786,2.9642632858982463,2.6483186594708714,2.6571008549104382,2.3299496481260373,2.021730640706894,1.9783559230996004,1.9762559245198816,2.078876908005088,1.9884084989350101,1.5578168504546315,1.3456083142551356,1.4126262953104698,1.3351974431852185,1.741833429444648,1.8178558528136555,1.780639434645313,1.968641151165178
conan-io,4.291375327730463,4.361379656065639,4.328275435690859,4.17563014012994,4.065488642537866,3.9251213299827645,4.155272870894217,4.151328780581952,4.005900007274756,3.7681145514011067,3.620816206172206,3.3005416832979275,3.158848183029781,2.9889396871090232,3.013389083186362,2.909922120161464,3.0320553050835644,3.0629638359425524,3.2533201742331275,3.484004563884096,3.4410959453086334,3.5729278993901725,3.5801825620637246,3.686253485404338,3.5850287379000894,3.4803723389244667,3.581461917365055
pandas-dev,6.3229892413652315,6.314985198868018,6.121441026747192,5.923317774793226,5.524532041156753,5.451712599876525,5.387914771974573,5.108836823350982,5.038360289241725,4.784184340287788,4.62223103209821,4.288653486140461,4.186406355614455,4.024530111917862,3.9814548141593042,3.8182980100979007,3.6322523748258586,3.6146150677691,3.3495937917624192,3.0215899484392286,3.094416809076304,3.3267078947999265,3.498125111963987,3.8099466344066153,3.7026737956063447,3.7308114105884314,4.053559687135154
Ultimaker,3.790828516142787,3.395739321906795,3.176856341419196,3.766730825105569,3.6679078268192513,3.464288051709354,3.4197633697251324,2.974176620099918,3.00067494803985,3.01583275125725,3.2179169191981867,2.812244716143666,2.755304265972149,2.473110280523896,2.032704405814002,2.389673954042392,3.0898022827236433,3.0918217147332814,2.964609056294356,2.8619280985289364,2.6729954374125033,3.12456062771499,3.0345002540582846,3.3617181638750187,3.3194979522798977,3.2363139763934656,3.7243434522324015
influxdata,2.8100046662357245,3.113220032927831,3.0973675645154612,2.844244822583736,2.3052737312571248,2.3421363132192283,2.3922364403952265,1.9717311782986433,1.67772832875971,1.613691878317698,1.5777498951114044,1.4914532584165423,1.4118133170026117,1.7241323664978516,1.5408989276071745,1.212272776773516,1.3348254764475194,1.3274821774914134,1.4023304751354508,1.1631444831708666,1.0613651549574303,1.0419427735361482,1.077866806787085,1.1508415291693646,1.4079122067852121,1.4711961291521367,1.5164738019332602
zephyrproject-rtos,5.928823236206931,5.812864576536735,5.866354055736539,5.802387753183465,5.644751329797048,5.597272551437561,5.682792913406187,5.3397534012222225,5.45226461206911,5.3060056483194495,5.3057689602682885,5.043335921222055,5.070034146899687,5.025369252803211,5.216288247705097,4.99803644396423,5.080904322135609,5.4533811200393165,5.479352856169842,5.468032281940672,5.452118599623532,5.370550093700767,5.345527545689963,5.274323771472421,5.357789618948285,5.270815049839219,5.48239294137142
