Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,2.382409177820268,1.9421487603305785,1.8540145985401462,1.7830290010741139,1.9454225352112675,1.910233393177738,1.9650986342943855,1.9285376242309513,2.033846153846154,1.8003705419175544,2.032033426183844,1.6403678606001937,1.7221343873517787,1.8302872062663185,1.8760330578512396
PaddlePaddle,1.8317399617590822,1.4421487603305785,1.7226277372262775,1.6670247046186895,2.0193661971830985,1.985637342908438,1.8194233687405161,1.8774254614292474,1.913846153846154,1.779527559055118,1.9902506963788302,1.7013552758954504,1.3308300395256918,1.622715404699739,1.9917355371900827
AdguardTeam,1.6481835564053537,1.4545454545454546,1.343627175743964,1.4350161117078408,1.443661971830986,1.5278276481149011,1.3505311077389985,1.4387127307146237,1.48,1.3793422880963409,1.4721448467966574,1.378993223620523,1.2774703557312252,1.2741514360313315,1.4338842975206612
pingcap,1.6768642447418738,1.512396694214876,1.4649073554183043,1.3915145005370568,1.512323943661972,1.5870736086175943,1.60546282245827,1.5238996687174633,1.5353846153846153,1.2751273737841595,1.4387186629526463,1.3528557599225557,1.2383399209486166,1.3446475195822454,1.43801652892562
cms-sw,1.3728489483747608,1.3677685950413223,1.3587871982032567,1.2851772287862513,1.5440140845070423,1.4901256732495511,1.409711684370258,1.4344533838144817,1.2676923076923077,1.2709587772116722,1.2381615598885793,1.0871248789932237,1.0782608695652174,1.223237597911227,1.3016528925619835
microsoftgraph,2.1873804971319313,1.8429752066115703,1.9500280741156653,1.7975295381310419,2.029929577464789,2.141831238779174,1.9013657056145676,1.9370563180312352,1.830769230769231,1.7878647522000928,1.701949860724234,1.5837366892545983,1.5727272727272728,1.5443864229765012,1.8388429752066116
MarlinFirmware,2.239005736137667,1.5991735537190084,1.4800673778775968,1.4108485499462944,1.517605633802817,1.5655296229802513,1.5098634294385433,1.383341221012778,1.373846153846154,1.3626679018063919,1.3384401114206128,1.453049370764763,1.391304347826087,1.3720626631853785,1.4338842975206612
conan-io,1.8030592734225621,1.43801652892562,1.565974171813588,1.5268528464017184,1.6179577464788732,1.5870736086175943,1.6509863429438543,1.75390440132513,1.4753846153846153,1.5460861509958315,1.5766016713091922,1.4835430784123913,1.4482213438735179,1.485639686684073,1.8140495867768596
pandas-dev,2.7323135755258123,1.9793388429752066,2.157215047725997,1.9087003222341568,1.9190140845070423,1.8563734290843805,1.905918057663126,1.8348319924278278,2.144615384615385,2.0838351088466887,2.086350974930362,1.8494675701839305,1.6901185770750988,1.7206266318537857,2.169421487603306
logseq,2.2906309751434035,1.7933884297520661,1.8994946659180236,1.9232008592910848,2.3045774647887325,2.4811490125673252,2.088012139605463,2.0179839091339327,1.9646153846153847,1.9754515979620195,2.052924791086351,1.9148112294288482,1.6901185770750988,1.587467362924282,1.8388429752066116
Ultimaker,2.3193116634799233,1.615702479338843,1.5002807411566534,1.9908700322234156,2.85387323943662,2.4003590664272894,2.324734446130501,1.9583530525319452,1.9923076923076923,2.092172301991663,1.9902506963788302,2.041142303969022,1.9142292490118575,1.9712793733681462,2.537190082644628
influxdata,1.81453154875717,1.4917355371900827,1.4800673778775968,1.2996777658431793,1.4066901408450705,1.3231597845601435,1.3459787556904401,1.3151916706105062,1.3553846153846154,1.2334414080592868,1.2841225626740949,1.1786060019361084,1.1992094861660079,1.2075718015665795,1.243801652892562
zephyrproject-rtos,3.0764818355640537,2.4834710743801653,2.8747894441325097,2.459720730397422,2.985915492957746,2.9443447037701977,2.7936267071320184,2.754850922858495,2.744615384615385,2.5798981009726725,2.7423398328690807,2.398354307841239,2.383794466403162,2.5509138381201044,2.8057851239669422
Automattic,2.54302103250478,2.1818181818181817,2.308815272318922,2.1165413533834583,2.346830985915493,2.346499102333932,2.265553869499241,2.2053951727401797,2.153846153846154,2.09634089856415,2.094707520891365,2.1369796708615683,1.992490118577075,2.033942558746736,2.1611570247933884
qmk,2.462715105162524,1.7066115702479339,1.79842784952274,1.6090225563909775,1.9401408450704225,1.8833034111310591,1.810318664643399,1.7837198296261239,1.6600000000000001,1.6794812413154239,1.6225626740947074,1.622942884801549,1.5229249011857706,1.450391644908616,1.7148760330578514
mrdoob,1.6367112810707458,1.3429752066115703,1.3032004491858507,1.198174006444683,1.38556338028169,1.2746858168761221,1.2276176024279213,1.353525792711784,1.350769230769231,1.1834182491894396,1.2172701949860725,1.14811229428848,1.117391304347826,1.1096605744125325,1.243801652892562
termux,1.5564053537284894,1.3925619834710745,1.3739472206625492,1.6428571428571428,1.4859154929577465,1.317773788150808,1.4142640364188166,1.3663038334122102,1.3923076923076922,1.3584993052339045,1.309192200557103,1.3136495643756052,1.1885375494071146,1.1644908616187988,1.2851239669421488
