Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,3.4998011485097593,2.7888962178458665,3.7656005644989663,3.8376331738226352,1.8316643804485362,3.7568611215385346,4.278363892589512,4.105775482285379,4.558015920435562,4.952682836864984,5.25448018999167,3.66776177969821,5.379832867004896,5.068053140070825,4.860143536706451,3.9795713878999055,4.036529679074855,4.722732184072381,4.337101935010525,4.370530466320716,4.273657591162057,5.925090851817668,4.5108392348993345,4.068845831730167,4.123322216730326,3.316027735730894,2.7238072812163128
AdguardTeam,1.4689423568489381,1.1977322474890404,1.7021099420269588,1.4708257068125132,1.1320119959919426,1.2936590483204244,1.7539225033399606,1.6033606835957546,1.931471805860789,1.9037927542883104,1.687046384185888,1.8390189108798403,2.246809823966001,2.278228224162193,2.481786691026183,1.5561675423255878,1.5296097315386745,1.3669543648524092,1.6357909471311403,1.6345541521937648,1.8089673815532592,1.7176894160047262,1.6814015921765666,1.6149699100747021,1.8580639027611898,1.22400518299308,1.3628295977927694
pingcap,4.089345827663438,2.765058065055639,3.8455600081112253,4.6811751757558255,1.97971187527449,3.9672333243378426,4.8649769568559265,4.367647744479471,4.786360225513844,5.144635498096722,5.030379078260278,4.5315971012765885,5.273640491932826,4.710047396991754,5.283749889398958,4.186472184533871,3.954958522891336,4.146652363435849,4.14607954711631,4.480191678757846,4.485624301114612,4.039678660667211,3.8519106651995885,3.4907655505368202,3.4156374876090334,2.878090490046902,2.421181104603936
cms-sw,1.0,1.029932376047824,1.0,1.0,1.0,1.0,1.0716473279523104,1.0,1.0,1.0,1.0,1.0,1.0,1.139241054798749,1.0,1.0844639182228037,1.0,1.0166917705790819,1.0,1.0,1.1063912044486675,1.0,1.0379893412052388,1.0508970582667054,1.0,1.0,1.0
microsoftgraph,1.2660738660849138,1.059637271422175,1.1484476007540236,1.2031119992762755,1.0488158244392407,1.0395778964181368,1.0538582438787223,1.069903210438357,1.0580024708625668,1.148581974816634,1.2426838157741478,1.1219435227636463,1.3509181697653951,1.0933763133756567,1.1266260215229122,1.1671411559180673,1.0134807004808397,1.163794230920816,1.1648691123935235,1.2549312863058197,1.1238448940976038,1.1883210945808849,1.186358669285313,1.1671411559180673,1.2835158926099122,1.1136070921610361,1.10714737843828
MarlinFirmware,5.731030801262692,3.7004963313949384,5.693279777838095,3.358910846093119,1.4888122657973955,3.163910098416416,2.896134939165219,3.0095482774864064,3.8464296599864625,3.8404569345092754,3.535049338143067,3.349102777283758,4.5306476779453195,3.6203275691797114,3.203651155872454,2.9956899298567534,2.4963007174854885,4.544485325864329,2.352925062862928,3.8885922491912517,2.8318335002643886,2.5465243898573307,2.850576669474032,3.4178559691141817,3.174793803357866,1.9428468667021717,1.867761963376945
conan-io,1.166836228032522,1.0817687259790842,1.1967031561029966,1.4087275727214306,1.0488158244392407,1.0787590520935952,1.1420049337170268,1.3376472514110018,1.1714873876869993,1.2715916126674944,1.3203416749753534,1.0817169206672657,1.1793959369786413,1.295657588714374,1.2693512210283737,1.2078330827639558,1.119684526274379,1.0827550390707716,1.180979899129761,1.178246858208051,1.1928905619871328,1.0952946153780512,1.1128779610262989,1.2159208780474688,1.1666372407052878,1.057216288203338,1.1480352517099828
pandas-dev,4.921945592307846,3.2247222289967206,5.117860604223469,4.458152538720819,2.156609079531347,4.11341872665847,4.911769909296966,4.876827798331703,4.902900048447149,5.313274890922087,5.233345952238945,4.412715153932788,5.975577717920026,5.912704332887401,5.319431091679273,5.413983613949365,4.294820725440452,4.413994103542511,4.620556215904795,5.3889949006121745,5.021853524235561,4.734897544957405,5.013500019897285,4.37577618041438,4.607169337612479,3.461989262829603,3.2667100677198206
Ultimaker,1.9188204877874622,1.4400100172846209,1.6809820509230886,2.158276656288664,1.2103722027993076,1.5896612654823818,1.9145412352574562,1.7950236709318477,2.198411311721486,2.536446328662646,2.805656849263557,2.2095336247468635,2.3780215965189258,1.9030432266178257,1.8106958246787443,2.6382147336733075,2.403109937558299,2.0370535999045547,2.068858836283849,2.0586028319430443,1.9944867242268598,2.075463465571178,2.062994798285253,2.356942048532915,2.3259463162168563,1.9503868654039098,1.84351968799904
influxdata,2.6017807285661156,1.8233093043373185,2.368818843867233,2.6068940100945435,1.4335162695153705,2.3159941130283848,2.583482064625897,2.6911199807980166,2.92852381315048,3.0935053012919265,2.9222127623534515,2.6934019341135564,3.4319444342478542,3.0207146013925446,3.0922233469828333,2.336776997768224,2.239400912620837,2.4735959004883172,2.458694228233628,3.29394860097333,2.564128232113754,2.3693872035803194,2.8978434235563064,2.2218888709082907,2.733842090161766,2.1984582854537615,1.6948210587052164
