Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,3.376266934074541,3.826958646647798,4.145037117671202,3.553249899983491,3.2262447277036728,3.823533788925509,3.4931269123300623,3.8591561803914383,3.5332726240314707,3.8406863786305103,4.210201997282768,3.9097575133762,4.714975347576171,4.721314468883819,4.629307750504408,4.652744430773214,4.72802688229082,4.1949210071292455,4.249568112941292,4.589066925088504,4.4241546492847625,4.776369576844553,4.627451667105959,4.080132930764778,3.904743208214957,4.432066721673182,3.7659180588550254
AdguardTeam,1.5679245866039497,1.1506732724496156,1.0,1.0,1.124313845643114,1.1969326177877597,2.008326028500442,2.4630050797938567,1.166154192230866,1.3054808451156958,1.0,1.4480453422430455,1.5087002670722005,1.1236583027289573,1.529799932987393,1.4094187341870403,1.767189532659118,1.12632285433512,1.0,1.2755867258909328,1.0,1.0,1.0530194309338223,1.795474669048171,1.5156586355898911,1.2655953775768456,1.0
pingcap,2.482756010488915,2.53615936592698,2.856509794455122,2.772826610640155,2.303606822726316,2.672355087163648,3.353398574835948,3.501771840442177,2.803341000479528,3.172182818641483,3.4708135692260407,3.3792300963769435,2.669416684136769,2.408747664452325,3.7149969222013133,3.177051996944189,3.1028225351985523,3.481659822461991,3.058991420154688,3.1435884327351515,3.075631114704459,2.7857620344830916,2.3798568140654908,2.53136184019216,2.161852267415119,2.3369033529565817,2.419710931046675
cms-sw,1.0606526877884352,1.0760626230601866,1.3713534836368784,1.5683842055212667,1.3616741356194282,1.414808538465152,1.4217002277375446,1.1308659855950163,1.4028488275225393,1.5495683668283153,1.932348741960745,1.9998435681776385,1.0,1.5280300226135528,1.0,1.552531071450234,1.4023876147253322,1.5388307826480974,1.3384599169494065,1.4320695346397723,1.4043717198845953,1.774451559493253,1.683858179361184,2.1807110529464255,1.729299258182965,1.7024391608384506,1.808914042458556
microsoftgraph,1.4060401627026116,1.7963585433424663,1.9006544293680607,1.796691450715914,1.6125330238738713,1.444965441627613,1.6795068607833148,1.7995568765567334,1.626024787462705,1.5495683668283153,1.7391306402496545,1.185425297394275,1.8510049685312118,2.1366441162393945,1.529799932987393,1.735544229644299,2.054876719422179,2.6926853541879088,1.699514925821248,2.1323721074305997,1.5126181855613265,1.4063755062837868,1.4531167462326973,2.301123951313754,2.0485501216429345,1.748095556701808,1.6309477798789864
MarlinFirmware,6.61473783109988,6.684509040975232,6.727401281068673,5.813185433247662,5.443250731000697,4.976033970785275,5.223363385266449,5.56233612711138,5.347164836135551,5.814337313707026,6.247330786130787,6.298017002369908,6.976613270826142,6.7109431487961695,6.215638504822956,5.785425514730989,5.2512501618852685,5.9290832013635235,5.339654759902827,5.8455182031272654,5.521759017666071,5.831001545650892,5.122321457245876,5.908846056517004,6.480681935745439,6.73092906034577,5.652768053428074
conan-io,1.5679245866039497,1.8892213001718512,2.2553344100642443,1.8789818656747412,2.0705719046717634,2.0298035613083028,2.416318932148301,2.275520545952981,1.4409410110172967,1.8163150216969248,2.0803279416991334,2.0364302659254867,1.8872523720786027,2.703968785100316,2.1529998911023434,2.648249097988538,2.4917808492483142,2.6085245596135973,2.119535177743911,2.2997120650013514,1.6179474723815375,2.70749945759754,2.1876943986508293,2.1397347277105845,2.3790553848655933,2.2179831278546427,2.7340958098417225
pandas-dev,5.1616990784209245,5.437915692774486,6.156747054293357,5.225516720645234,5.350983390463385,4.877422284936383,5.7526310986493465,6.703622516600935,5.989133091280514,6.008123205840887,5.683509503889785,6.109964418471698,6.1853504822689604,6.839942706578875,6.989411865121645,6.520606979095112,6.04280890825593,6.071953331800271,6.462485235623457,6.567933278326816,6.827482272258227,7.451865679040185,6.0600669950425665,6.181770919111524,5.720913141830204,6.0689929574146335,5.768176720586266
Ultimaker,1.237160200658443,1.435640346747654,1.4762117930357055,1.824314536265003,1.503022816411581,1.3537876060893934,1.7105691461470165,1.763234619267043,1.4409410110172967,1.7793049050593424,2.1877479940555338,2.0364302659254867,2.297866940419655,2.452312020114774,1.4844963311133155,2.7183962509467405,1.6663878056556551,2.110157387458012,1.8445948916496322,1.8210959210472923,1.720512695526263,2.0176388450473453,1.5003676279491098,2.4179379125397293,1.89218325701813,1.9255679220454194,1.945673777249127
influxdata,3.275127070654254,3.2884338575632834,2.6577220247895763,2.9002938956459854,2.6081427034158478,2.6503482395171867,3.079856737431868,3.108391489473523,2.526234023352499,2.789509475748169,2.9549375267146516,3.112020129997602,3.41960781063322,3.6388419233682217,2.82200652486834,3.3286343400640916,3.172899816729547,3.3077415980152916,2.4584028971215712,3.490706918778511,2.8924749996268178,3.4601823999395216,3.397646472724496,2.954755549869021,2.74838705185841,3.1452380776767144,2.5079903498864935
zephyrproject-rtos,2.9918816300146043,2.638500784805018,3.334787476656287,3.553249899983491,2.8906566555089954,3.2430486115359263,3.123206353717984,3.3345171414674692,3.4206957125757054,3.424260504769111,3.620524861450276,3.4559563398245863,3.791403171585405,4.445097981394751,4.176005435589396,3.9335147456204,4.633585098500344,4.38847329620379,4.325795562522642,4.520066402184483,4.189129742440137,4.634125363723237,4.251164145130397,4.551942125270742,3.8808370154212963,3.8678515788697485,3.8904519661982704
qmk,8.165771649408246,8.462469429315775,8.967101048967395,8.41177836351093,7.70324912364167,8.15977701104305,8.674195711439044,8.959101200858303,9.086335259497798,9.284745327054182,9.500344049351515,9.589940466853188,10.0,9.806852638183347,9.464622074585185,9.524385655900398,9.96350187586813,9.775412793065398,9.83142837903341,9.854560100135659,9.359993976043476,9.837607715327634,9.499535167824718,9.599737598278695,9.394136738065587,9.074002637212969,8.72034883427882
mrdoob,7.131312628546207,7.621143039849365,8.133200401197115,7.697105545307955,7.414364060274382,7.983361719766469,7.789396332663407,7.770659963933691,7.674820037473675,8.059277563654524,8.445373718605467,8.41834228691288,8.605882360128312,9.469288092318717,9.013685903720656,9.04526435911258,9.021254098200291,8.755810622920896,8.563565270457104,8.433536603254364,8.611674384409422,8.197839595628734,7.857330022602427,7.67327640760252,7.126992995589997,8.0256906591354,7.455534993735241
